"GEO_ID","NAME","B02011_001E","B02011_001M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:",
"1500000US360010001001","Block Group 1; Census Tract 1; Albany County; New York","25","33",
"1500000US360010001002","Block Group 2; Census Tract 1; Albany County; New York","5","8",
"1500000US360010002011","Block Group 1; Census Tract 2.01; Albany County; New York","0","13",
"1500000US360010002012","Block Group 2; Census Tract 2.01; Albany County; New York","72","109",
"1500000US360010002013","Block Group 3; Census Tract 2.01; Albany County; New York","30","48",
"1500000US360010002021","Block Group 1; Census Tract 2.02; Albany County; New York","0","13",
"1500000US360010002022","Block Group 2; Census Tract 2.02; Albany County; New York","0","13",
"1500000US360010003011","Block Group 1; Census Tract 3.01; Albany County; New York","0","13",
"1500000US360010003012","Block Group 2; Census Tract 3.01; Albany County; New York","6","77",
"1500000US360010003021","Block Group 1; Census Tract 3.02; Albany County; New York","52","59",
"1500000US360010003022","Block Group 2; Census Tract 3.02; Albany County; New York","118","111",
"1500000US360010004011","Block Group 1; Census Tract 4.01; Albany County; New York","18","37",
"1500000US360010004031","Block Group 1; Census Tract 4.03; Albany County; New York","52","51",
"1500000US360010004032","Block Group 2; Census Tract 4.03; Albany County; New York","273","194",
"1500000US360010004033","Block Group 3; Census Tract 4.03; Albany County; New York","171","157",
"1500000US360010004034","Block Group 4; Census Tract 4.03; Albany County; New York","35","42",
"1500000US360010004041","Block Group 1; Census Tract 4.04; Albany County; New York","447","146",
"1500000US360010005011","Block Group 1; Census Tract 5.01; Albany County; New York","32","53",
"1500000US360010005012","Block Group 2; Census Tract 5.01; Albany County; New York","18","20",
"1500000US360010005013","Block Group 3; Census Tract 5.01; Albany County; New York","9","15",
"1500000US360010005014","Block Group 4; Census Tract 5.01; Albany County; New York","134","165",
"1500000US360010005021","Block Group 1; Census Tract 5.02; Albany County; New York","154","73",
"1500000US360010005022","Block Group 2; Census Tract 5.02; Albany County; New York","296","140",
"1500000US360010006001","Block Group 1; Census Tract 6; Albany County; New York","0","13",
"1500000US360010006002","Block Group 2; Census Tract 6; Albany County; New York","373","231",
"1500000US360010006003","Block Group 3; Census Tract 6; Albany County; New York","602","315",
"1500000US360010007001","Block Group 1; Census Tract 7; Albany County; New York","43","42",
"1500000US360010007002","Block Group 2; Census Tract 7; Albany County; New York","0","13",
"1500000US360010007003","Block Group 3; Census Tract 7; Albany County; New York","0","13",
"1500000US360010007004","Block Group 4; Census Tract 7; Albany County; New York","12","19",
"1500000US360010008001","Block Group 1; Census Tract 8; Albany County; New York","0","13",
"1500000US360010008002","Block Group 2; Census Tract 8; Albany County; New York","20","29",
"1500000US360010008003","Block Group 3; Census Tract 8; Albany County; New York","104","114",
"1500000US360010011001","Block Group 1; Census Tract 11; Albany County; New York","21","23",
"1500000US360010014001","Block Group 1; Census Tract 14; Albany County; New York","58","93",
"1500000US360010014002","Block Group 2; Census Tract 14; Albany County; New York","23","36",
"1500000US360010014003","Block Group 3; Census Tract 14; Albany County; New York","267","230",
"1500000US360010014004","Block Group 4; Census Tract 14; Albany County; New York","44","70",
"1500000US360010015001","Block Group 1; Census Tract 15; Albany County; New York","94","77",
"1500000US360010015002","Block Group 2; Census Tract 15; Albany County; New York","305","270",
"1500000US360010015003","Block Group 3; Census Tract 15; Albany County; New York","187","168",
"1500000US360010015004","Block Group 4; Census Tract 15; Albany County; New York","0","13",
"1500000US360010016001","Block Group 1; Census Tract 16; Albany County; New York","243","173",
"1500000US360010016002","Block Group 2; Census Tract 16; Albany County; New York","120","92",
"1500000US360010016003","Block Group 3; Census Tract 16; Albany County; New York","36","52",
"1500000US360010016004","Block Group 4; Census Tract 16; Albany County; New York","182","245",
"1500000US360010017001","Block Group 1; Census Tract 17; Albany County; New York","103","126",
"1500000US360010017002","Block Group 2; Census Tract 17; Albany County; New York","10","17",
"1500000US360010017003","Block Group 3; Census Tract 17; Albany County; New York","291","246",
"1500000US360010018021","Block Group 1; Census Tract 18.02; Albany County; New York","59","41",
"1500000US360010018022","Block Group 2; Census Tract 18.02; Albany County; New York","20","21",
"1500000US360010018023","Block Group 3; Census Tract 18.02; Albany County; New York","22","35",
"1500000US360010018031","Block Group 1; Census Tract 18.03; Albany County; New York","5","9",
"1500000US360010018032","Block Group 2; Census Tract 18.03; Albany County; New York","156","165",
"1500000US360010018033","Block Group 3; Census Tract 18.03; Albany County; New York","0","13",
"1500000US360010018041","Block Group 1; Census Tract 18.04; Albany County; New York","140","210",
